video_name,index,texture,direction,speed,angle,dist,bright,contr,stripe,bg,object_enabled,object_type,num_objects,object_size,object_position,blur_enabled,blur_type,blur_intensity,blur_variation,distance_randomized,resolution
treadmill_0000_subtle_gray_stripes_stripe228_bg121_left_speed14.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed83.mp4,0000,subtle_gray_stripes,,14.0,0,1.0,0.0,1.0,228,121,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe228_bg124_left_speed0.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed69.mp4,0000,subtle_gray_stripes,,0.0,30,1.0,0.0,1.0,228,124,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe227_bg124_left_speed14.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed97.mp4,0000,subtle_gray_stripes,,14.0,30,1.0,0.0,1.0,227,124,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe227_bg121_left_speed14.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed79.mp4,0000,subtle_gray_stripes,,14.0,0,1.0,0.0,1.0,227,121,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed43.mp4,0000,subtle_gray_stripes,,0.0,0,1.0,0.0,1.0,226,121,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe226_bg123_left_speed14.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed76.mp4,0000,subtle_gray_stripes,,14.0,0,1.0,0.0,1.0,226,123,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe229_bg120_left_speed0.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed54.mp4,0000,subtle_gray_stripes,,0.0,0,1.0,0.0,1.0,229,120,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe226_bg123_left_speed0.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed60.mp4,0000,subtle_gray_stripes,,0.0,30,1.0,0.0,1.0,226,123,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe226_bg120_left_speed14.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed74.mp4,0000,subtle_gray_stripes,,14.0,0,1.0,0.0,1.0,226,120,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe227_bg120_left_speed0.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed46.mp4,0000,subtle_gray_stripes,,0.0,0,1.0,0.0,1.0,227,120,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe226_bg123_left_speed0.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed44.mp4,0000,subtle_gray_stripes,,0.0,0,1.0,0.0,1.0,226,123,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe227_bg120_left_speed14.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed94.mp4,0000,subtle_gray_stripes,,14.0,30,1.0,0.0,1.0,227,120,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe226_bg123_left_speed14.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed92.mp4,0000,subtle_gray_stripes,,14.0,30,1.0,0.0,1.0,226,123,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe228_bg123_left_speed14.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed84.mp4,0000,subtle_gray_stripes,,14.0,0,1.0,0.0,1.0,228,123,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe228_bg123_left_speed14.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed100.mp4,0000,subtle_gray_stripes,,14.0,30,1.0,0.0,1.0,228,123,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe227_bg120_left_speed14.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed78.mp4,0000,subtle_gray_stripes,,14.0,0,1.0,0.0,1.0,227,120,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe229_bg121_left_speed14.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed87.mp4,0000,subtle_gray_stripes,,14.0,0,1.0,0.0,1.0,229,121,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe226_bg121_left_speed0.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed59.mp4,0000,subtle_gray_stripes,,0.0,30,1.0,0.0,1.0,226,121,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe227_bg123_left_speed0.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed64.mp4,0000,subtle_gray_stripes,,0.0,30,1.0,0.0,1.0,227,123,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe229_bg123_left_speed0.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed72.mp4,0000,subtle_gray_stripes,,0.0,30,1.0,0.0,1.0,229,123,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe229_bg121_left_speed0.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed71.mp4,0000,subtle_gray_stripes,,0.0,30,1.0,0.0,1.0,229,121,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe227_bg124_left_speed0.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed65.mp4,0000,subtle_gray_stripes,,0.0,30,1.0,0.0,1.0,227,124,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe229_bg121_left_speed14.0_angle30_dist1.0_bright0.00_contr1.00_640x480_seed103.mp4,0000,subtle_gray_stripes,,14.0,30,1.0,0.0,1.0,229,121,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe229_bg124_left_speed0.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed57.mp4,0000,subtle_gray_stripes,,0.0,0,1.0,0.0,1.0,229,124,no,,,,,no,,,no,no,640x480
treadmill_0000_subtle_gray_stripes_stripe227_bg124_left_speed14.0_angle0_dist1.0_bright0.00_contr1.00_640x480_seed81.mp4,0000,subtle_gray_stripes,,14.0,0,1.0,0.0,1.0,227,124,no,,,,,no,,,no,no,640x480
